Date,Open,High,Low,Close,Volume
31-Mar-11,5500,5800,5500,5750,94991000
30-Mar-11,5400,5450,5350,5400,19883000
29-Mar-11,5300,5400,5200,5350,22639500
28-Mar-11,5350,5350,5250,5350,17049000
25-Mar-11,5350,5400,5300,5350,39926000
24-Mar-11,5200,5300,5200,5300,42013500
23-Mar-11,5200,5250,5100,5200,29376000
22-Mar-11,5100,5200,5050,5200,30669000
21-Mar-11,5050,5100,4975,5100,14226000
18-Mar-11,5050,5050,4975,5000,17906500
17-Mar-11,5000,5050,4950,5050,21564000
16-Mar-11,5150,5150,4975,5100,33547500
15-Mar-11,5200,5200,5050,5100,25222000
14-Mar-11,5150,5300,5050,5250,26380000
11-Mar-11,5050,5150,5000,5150,26610500
10-Mar-11,5100,5150,5050,5150,8745500
9-Mar-11,5200,5250,5050,5150,28119000
8-Mar-11,5300,5300,5100,5150,21078000
7-Mar-11,5200,5350,5150,5300,56819500
4-Mar-11,4975,5250,4975,5250,103207000
3-Mar-11,4900,4925,4850,4925,45149500
2-Mar-11,4850,4900,4825,4900,30025000
1-Mar-11,4725,4900,4725,4900,46388000
28-Feb-11,4700,4725,4625,4700,31610000
25-Feb-11,4650,4750,4650,4725,13428500
24-Feb-11,4700,4775,4600,4650,29650000
23-Feb-11,4750,4850,4725,4800,30946500
22-Feb-11,4800,4800,4725,4750,38570500
21-Feb-11,4875,4925,4825,4900,28000500
18-Feb-11,4800,4900,4775,4875,57908500
17-Feb-11,4800,4850,4750,4800,26276500
16-Feb-11,4650,4775,4625,4750,44402000
14-Feb-11,4600,4675,4575,4650,28467000
11-Feb-11,4575,4650,4550,4600,38021000
10-Feb-11,4575,4625,4525,4550,63482500
9-Feb-11,4825,4850,4600,4625,88033500
8-Feb-11,4875,4900,4825,4825,38084000
7-Feb-11,4950,4975,4825,4875,30729500
4-Feb-11,4950,4975,4875,4900,20737000
2-Feb-11,4925,5000,4900,4925,39365000
1-Feb-11,4875,4925,4800,4900,55260000
31-Jan-11,4950,4950,4825,4850,75965500
28-Jan-11,5250,5250,5050,5100,32220000
27-Jan-11,5300,5400,5150,5250,57598000
26-Jan-11,5150,5350,5100,5300,58631500
25-Jan-11,4900,5200,4900,5150,83249000
24-Jan-11,4750,4950,4750,4875,44675000
21-Jan-11,4700,4725,4550,4700,66687500
20-Jan-11,4800,4825,4750,4775,25751500
19-Jan-11,4950,4950,4775,4800,50364500
18-Jan-11,5050,5050,4950,5000,25265000
17-Jan-11,5100,5100,4925,5050,45738000
14-Jan-11,5100,5150,4950,5150,38167500
13-Jan-11,5050,5150,5000,5100,62344000
12-Jan-11,4850,5000,4850,5000,53144500
11-Jan-11,4725,4875,4650,4800,93518500
10-Jan-11,9750,9750,9050,9300,90894500
7-Jan-11,10250,10250,9700,9800,60457000
6-Jan-11,10650,10700,10150,10350,21654500
5-Jan-11,10300,10650,10100,10600,23799000
4-Jan-11,10500,10550,10100,10300,27848500
3-Jan-11,10600,10750,10200,10350,12665500
30-Dec-10,10650,10650,10400,10500,11493000
29-Dec-10,10600,10650,10500,10600,10306500
28-Dec-10,10200,10600,10200,10600,8438000
27-Dec-10,10050,10250,10050,10200,4591500
23-Dec-10,10300,10300,10050,10300,14594500
22-Dec-10,10350,10500,10250,10300,14519000
21-Dec-10,10000,10350,10000,10300,30156000
20-Dec-10,10150,10150,9800,10000,30921000
17-Dec-10,10300,10450,9950,10250,43212500
16-Dec-10,10750,10750,10150,10350,41290500
15-Dec-10,10800,10800,10600,10750,15806000
14-Dec-10,10850,10950,10700,10700,21324500
13-Dec-10,11000,11050,10700,10850,14847000
10-Dec-10,11150,11150,10850,11000,15633500
9-Dec-10,11500,11500,11000,11200,17108500
8-Dec-10,11550,11700,11350,11500,15059500
6-Dec-10,11450,11550,11400,11500,6314000
3-Dec-10,11300,11500,11250,11400,12993000
2-Dec-10,11100,11250,11000,11200,11995000
1-Dec-10,10500,11050,10400,10850,30298500
30-Nov-10,10850,10850,10500,10500,27678000
29-Nov-10,11000,11150,10800,10900,10324000
26-Nov-10,11400,11400,10950,11100,22035000
25-Nov-10,11400,11600,11400,11450,12458500
24-Nov-10,11600,11650,11200,11300,22046500
23-Nov-10,11800,11850,11450,11600,12375000
22-Nov-10,11900,11900,11700,11850,8203500
19-Nov-10,12100,12100,11750,11900,12454000
18-Nov-10,11800,12150,11650,12100,10203000
16-Nov-10,11750,12150,11650,11850,9469500
15-Nov-10,12000,12000,11350,11750,7973500
12-Nov-10,12450,12450,11900,12000,12845000
11-Nov-10,12600,12800,12050,12500,6998500
10-Nov-10,12400,12600,12400,12500,7020500
9-Nov-10,12200,12650,12150,12450,12518000
8-Nov-10,12100,12200,12050,12050,7719000
5-Nov-10,12150,12250,11950,12100,5345000
4-Nov-10,12200,12250,11950,11950,11704000
3-Nov-10,12100,12250,12050,12200,8755000
2-Nov-10,12000,12200,11950,12100,9898500
1-Nov-10,11400,12300,11400,12100,20883000
29-Oct-10,11400,11900,11300,11400,9696500
28-Oct-10,11450,11450,11200,11300,7214000
27-Oct-10,11500,11700,11250,11450,6728500
26-Oct-10,11800,11850,11250,11500,14378500
25-Oct-10,10900,11800,10900,11800,17592500
22-Oct-10,10700,10850,10650,10850,6334000
21-Oct-10,10500,10850,10400,10700,11195000
20-Oct-10,10400,10500,10300,10400,12216500
19-Oct-10,10700,10700,10450,10600,6893500
18-Oct-10,10450,10650,10450,10450,4961500
15-Oct-10,10650,10650,10450,10500,9262000
14-Oct-10,11200,11250,10700,10750,9077000
13-Oct-10,10900,11200,10800,11000,15191500
12-Oct-10,10800,10950,10700,10800,9256000
11-Oct-10,10600,10800,10600,10800,11738000
