Date,Open,High,Low,Close,Volume
19-Sep-14,10500.00,10600.00,10425.00,10525.00,26443900
18-Sep-14,10325.00,10450.00,10300.00,10425.00,12453500
17-Sep-14,10175.00,10350.00,10175.00,10275.00,13269400
16-Sep-14,10150.00,10225.00,10125.00,10150.00,18845700
15-Sep-14,10075.00,10250.00,10050.00,10225.00,22043700
12-Sep-14,10250.00,10375.00,10200.00,10200.00,32431400
11-Sep-14,10450.00,10500.00,10375.00,10400.00,28486400
10-Sep-14,10500.00,10500.00,10375.00,10450.00,20566500
9-Sep-14,10525.00,10550.00,10450.00,10475.00,7206000
8-Sep-14,10575.00,10650.00,10450.00,10550.00,14471800
5-Sep-14,10600.00,10600.00,10450.00,10475.00,11141200
4-Sep-14,10575.00,10600.00,10500.00,10550.00,14110200
3-Sep-14,10500.00,10575.00,10500.00,10550.00,16557000
2-Sep-14,10525.00,10550.00,10500.00,10500.00,13652000
1-Sep-14,10425.00,10500.00,10375.00,10500.00,6157300
29-Aug-14,10525.00,10550.00,10375.00,10375.00,18302700
28-Aug-14,10575.00,10575.00,10450.00,10525.00,8752100
27-Aug-14,10500.00,10575.00,10500.00,10550.00,15556600
26-Aug-14,10600.00,10600.00,10450.00,10475.00,13563000
25-Aug-14,10525.00,10600.00,10450.00,10575.00,13563100
22-Aug-14,10625.00,10650.00,10475.00,10525.00,21476600
21-Aug-14,10600.00,10625.00,10500.00,10550.00,26405400
20-Aug-14,10550.00,10575.00,10525.00,10550.00,20734100
19-Aug-14,10550.00,10550.00,10475.00,10525.00,23704100
18-Aug-14,10500.00,10525.00,10425.00,10475.00,24673600
15-Aug-14,10475.00,10500.00,10425.00,10450.00,5840400
14-Aug-14,10475.00,10525.00,10450.00,10475.00,18251100
13-Aug-14,10350.00,10500.00,10350.00,10500.00,13002000
12-Aug-14,10550.00,10550.00,10425.00,10500.00,32413900
11-Aug-14,10325.00,10500.00,10275.00,10475.00,16968400
8-Aug-14,10150.00,10225.00,10150.00,10200.00,14995200
7-Aug-14,10225.00,10250.00,10050.00,10200.00,23575600
6-Aug-14,10275.00,10350.00,10225.00,10275.00,22037200
5-Aug-14,10275.00,10400.00,10175.00,10400.00,18438500
4-Aug-14,10225.00,10275.00,10025.00,10275.00,38622300
25-Jul-14,10300.00,10350.00,10150.00,10250.00,38884900
24-Jul-14,10500.00,10525.00,10375.00,10450.00,27924800
23-Jul-14,10650.00,10650.00,10450.00,10500.00,14102100
22-Jul-14,10725.00,10725.00,10400.00,10475.00,58032700
21-Jul-14,10700.00,10750.00,10600.00,10650.00,31976800
18-Jul-14,10525.00,10700.00,10500.00,10625.00,23937000
17-Jul-14,10600.00,10675.00,10525.00,10625.00,26751200
16-Jul-14,10600.00,10700.00,10550.00,10600.00,27252700
15-Jul-14,10525.00,10575.00,10475.00,10550.00,34260000
14-Jul-14,10500.00,10525.00,10350.00,10500.00,29697000
11-Jul-14,10400.00,10500.00,10275.00,10500.00,46689700
10-Jul-14,10700.00,11000.00,10375.00,10475.00,200380800
8-Jul-14,9975.00,10225.00,9975.00,10150.00,102180100
7-Jul-14,9725.00,9925.00,9725.00,9925.00,63961400
4-Jul-14,9700.00,9750.00,9650.00,9675.00,17555700
3-Jul-14,9825.00,9875.00,9625.00,9650.00,44456000
2-Jul-14,9850.00,9875.00,9775.00,9850.00,26998600
1-Jul-14,9725.00,9850.00,9700.00,9825.00,16829300
30-Jun-14,9625.00,9725.00,9625.00,9725.00,20203200
27-Jun-14,9850.00,9850.00,9625.00,9650.00,33255100
26-Jun-14,9800.00,9900.00,9750.00,9850.00,37280900
25-Jun-14,9750.00,9825.00,9700.00,9750.00,25897600
24-Jun-14,9750.00,9825.00,9725.00,9775.00,15508100
23-Jun-14,9875.00,9875.00,9725.00,9750.00,23146000
20-Jun-14,9875.00,9875.00,9775.00,9800.00,16868700
19-Jun-14,9925.00,9925.00,9775.00,9800.00,26257500
18-Jun-14,9900.00,9925.00,9850.00,9875.00,21969000
17-Jun-14,9900.00,9925.00,9775.00,9900.00,15073400
16-Jun-14,9850.00,9925.00,9750.00,9850.00,15437800
13-Jun-14,9850.00,9950.00,9850.00,9925.00,20510300
12-Jun-14,9950.00,9975.00,9850.00,9925.00,26232700
11-Jun-14,9925.00,9975.00,9850.00,9950.00,24527000
10-Jun-14,9825.00,9975.00,9825.00,9975.00,37083300
9-Jun-14,10175.00,10175.00,9750.00,9800.00,33628800
6-Jun-14,10075.00,10175.00,10025.00,10075.00,26987800
5-Jun-14,10200.00,10200.00,10025.00,10200.00,16565900
4-Jun-14,10225.00,10225.00,10100.00,10150.00,26687400
3-Jun-14,10200.00,10225.00,10075.00,10200.00,31530900
2-Jun-14,10200.00,10250.00,10125.00,10200.00,19219200
30-May-14,10375.00,10375.00,10050.00,10175.00,61794600
28-May-14,10325.00,10400.00,10275.00,10375.00,19923500
26-May-14,10425.00,10450.00,10225.00,10325.00,8936500
23-May-14,10425.00,10425.00,10300.00,10375.00,12809600
22-May-14,10225.00,10425.00,10200.00,10375.00,26600100
21-May-14,10050.00,10200.00,10025.00,10150.00,17261300
20-May-14,10650.00,10650.00,10000.00,10100.00,52623800
19-May-14,10750.00,10825.00,10425.00,10625.00,56496700
16-May-14,10300.00,10600.00,10275.00,10600.00,50566200
14-May-14,10100.00,10350.00,10075.00,10325.00,54952100
13-May-14,10075.00,10075.00,10000.00,10075.00,15266400
12-May-14,10100.00,10100.00,9975.00,9975.00,17660300
9-May-14,10100.00,10100.00,9950.00,10075.00,12239000
8-May-14,10025.00,10050.00,9950.00,10025.00,10806800
7-May-14,9850.00,10000.00,9850.00,9975.00,20586600
6-May-14,9900.00,9900.00,9825.00,9875.00,5447900
5-May-14,9875.00,9950.00,9775.00,9850.00,14003600
2-May-14,9900.00,9975.00,9850.00,9875.00,21564300
30-Apr-14,9800.00,9850.00,9775.00,9825.00,23310600
29-Apr-14,9900.00,9900.00,9725.00,9800.00,11652200
28-Apr-14,10000.00,10000.00,9725.00,9750.00,29021100
25-Apr-14,9875.00,10000.00,9850.00,9900.00,17926000
24-Apr-14,9825.00,9900.00,9800.00,9875.00,17349500
23-Apr-14,9850.00,9950.00,9825.00,9900.00,20075800
22-Apr-14,9875.00,9925.00,9725.00,9850.00,28760500
21-Apr-14,9875.00,9875.00,9800.00,9825.00,9681800
17-Apr-14,10075.00,10100.00,9775.00,9850.00,36769700
16-Apr-14,9825.00,10025.00,9800.00,9975.00,26729700
15-Apr-14,9800.00,9825.00,9750.00,9750.00,19082900
14-Apr-14,9675.00,9775.00,9675.00,9750.00,35613300
11-Apr-14,9600.00,9800.00,9550.00,9700.00,46107600
10-Apr-14,9550.00,9750.00,9525.00,9650.00,112644800
8-Apr-14,10300.00,10300.00,10150.00,10250.00,23788000
7-Apr-14,10125.00,10275.00,10050.00,10250.00,33906800
4-Apr-14,10325.00,10350.00,10025.00,10125.00,24200800
3-Apr-14,10200.00,10300.00,10100.00,10300.00,39277800
2-Apr-14,10000.00,10200.00,9975.00,10150.00,44749000
1-Apr-14,9575.00,9950.00,9575.00,9950.00,67031900
28-Mar-14,9525.00,9600.00,9400.00,9450.00,94047900
27-Mar-14,9400.00,9550.00,9400.00,9400.00,26437700
26-Mar-14,9575.00,9675.00,9500.00,9575.00,31916900
25-Mar-14,9450.00,9525.00,9425.00,9525.00,19964400
24-Mar-14,9500.00,9575.00,9400.00,9500.00,27120200
21-Mar-14,9425.00,9500.00,9325.00,9375.00,37900800
20-Mar-14,9750.00,9750.00,9325.00,9350.00,59390100
19-Mar-14,9725.00,9850.00,9700.00,9775.00,32139800
18-Mar-14,9900.00,10000.00,9725.00,9725.00,32967300
17-Mar-14,10000.00,10150.00,9725.00,9975.00,56716900
14-Mar-14,9200.00,10250.00,9150.00,10150.00,94872200
13-Mar-14,9200.00,9300.00,9200.00,9300.00,17803200
12-Mar-14,9225.00,9350.00,9175.00,9225.00,19709500
11-Mar-14,9250.00,9400.00,9200.00,9375.00,30696000
10-Mar-14,9375.00,9375.00,9100.00,9200.00,21495000
7-Mar-14,9500.00,9500.00,9225.00,9250.00,17013500
6-Mar-14,9475.00,9475.00,9375.00,9400.00,23760700
5-Mar-14,9200.00,9400.00,9175.00,9400.00,47398500
4-Mar-14,9100.00,9200.00,9025.00,9125.00,34306300
3-Mar-14,9000.00,9100.00,9000.00,9100.00,32196600
28-Feb-14,9050.00,9125.00,8950.00,9100.00,32692500
27-Feb-14,8950.00,9075.00,8925.00,9000.00,22316300
26-Feb-14,9000.00,9100.00,8825.00,8950.00,55665800
25-Feb-14,9500.00,9500.00,9025.00,9050.00,31302100
24-Feb-14,9500.00,9650.00,9375.00,9400.00,36970800
21-Feb-14,9250.00,9425.00,9225.00,9425.00,48989200
20-Feb-14,9100.00,9275.00,9100.00,9225.00,36751100
19-Feb-14,9125.00,9200.00,9050.00,9125.00,42149500
18-Feb-14,9150.00,9175.00,9050.00,9125.00,28603200
17-Feb-14,9075.00,9175.00,9050.00,9150.00,40195500
14-Feb-14,9000.00,9050.00,8950.00,9025.00,26815500
13-Feb-14,9000.00,9000.00,8925.00,9000.00,14824000
12-Feb-14,9075.00,9100.00,8875.00,8975.00,32957900
11-Feb-14,8875.00,9050.00,8850.00,8950.00,51528800
10-Feb-14,8850.00,8925.00,8750.00,8750.00,18112200
7-Feb-14,8675.00,8850.00,8650.00,8775.00,25434300
6-Feb-14,8650.00,8650.00,8500.00,8625.00,17620400
5-Feb-14,8650.00,8650.00,8500.00,8600.00,21181600
4-Feb-14,8400.00,8625.00,8400.00,8525.00,23811200
3-Feb-14,8825.00,8825.00,8550.00,8700.00,27053500
30-Jan-14,8450.00,8700.00,8375.00,8700.00,33144300
29-Jan-14,8350.00,8750.00,8300.00,8700.00,47565700
28-Jan-14,8250.00,8350.00,8150.00,8275.00,41028200
27-Jan-14,8250.00,8400.00,8150.00,8300.00,52689800
24-Jan-14,8875.00,8900.00,8625.00,8675.00,27432100
23-Jan-14,9000.00,9075.00,8875.00,8875.00,27466700
22-Jan-14,8800.00,8975.00,8725.00,8950.00,27714300
21-Jan-14,8800.00,8825.00,8750.00,8775.00,14931400
20-Jan-14,8800.00,8800.00,8675.00,8750.00,6792900
17-Jan-14,8625.00,8800.00,8625.00,8750.00,14587500
16-Jan-14,8875.00,8900.00,8625.00,8625.00,19247000
15-Jan-14,8825.00,9525.00,8725.00,8800.00,55062500
13-Jan-14,8500.00,8800.00,8475.00,8800.00,57195900
10-Jan-14,7800.00,8375.00,7800.00,8250.00,38486800
9-Jan-14,7825.00,7925.00,7700.00,7800.00,17801800
8-Jan-14,7700.00,7850.00,7650.00,7825.00,14988500
7-Jan-14,7650.00,7725.00,7600.00,7625.00,20292300
6-Jan-14,7800.00,7850.00,7600.00,7650.00,12918700
3-Jan-14,8050.00,8100.00,7750.00,7800.00,26448500
2-Jan-14,7900.00,8100.00,7850.00,8100.00,15996000
30-Dec-13,7750.00,7850.00,7700.00,7850.00,19461000
27-Dec-13,7800.00,7850.00,7650.00,7650.00,20826500
24-Dec-13,7900.00,7900.00,7750.00,7800.00,5672500
23-Dec-13,7900.00,7950.00,7800.00,7850.00,13973500
20-Dec-13,7800.00,8000.00,7800.00,8000.00,13559000
19-Dec-13,7800.00,8000.00,7800.00,7950.00,20411000
18-Dec-13,7750.00,7850.00,7650.00,7700.00,19218000
17-Dec-13,7600.00,7850.00,7550.00,7850.00,15392500
16-Dec-13,7500.00,7600.00,7450.00,7500.00,11979500
13-Dec-13,7650.00,7750.00,7600.00,7700.00,14931000
12-Dec-13,7700.00,7850.00,7650.00,7650.00,11077500
11-Dec-13,7900.00,7900.00,7700.00,7800.00,10398000
10-Dec-13,7650.00,7850.00,7600.00,7850.00,22763500
9-Dec-13,7500.00,7650.00,7450.00,7650.00,30680500
6-Dec-13,7600.00,7600.00,7300.00,7300.00,25754500
5-Dec-13,7650.00,7700.00,7500.00,7600.00,18212500
4-Dec-13,7700.00,7800.00,7650.00,7650.00,14496000
3-Dec-13,7800.00,7850.00,7700.00,7850.00,16990500
2-Dec-13,7700.00,7850.00,7650.00,7700.00,16888000
29-Nov-13,7500.00,7700.00,7500.00,7650.00,18805000
28-Nov-13,7600.00,7650.00,7450.00,7500.00,16051500
27-Nov-13,7650.00,7750.00,7450.00,7550.00,37109500
26-Nov-13,7850.00,7850.00,7650.00,7700.00,24024500
25-Nov-13,7700.00,7850.00,7650.00,7800.00,28361500
22-Nov-13,7650.00,7750.00,7550.00,7550.00,43668500
21-Nov-13,7550.00,7600.00,7400.00,7550.00,38672500
